April 1946,Koningin Wilhelmina (1927),Koningin Emma (1933),Koningsplaat,Lekstroom,Zandkreek (1926),Zuidvliet (1914),s.s. Koningin Wilhelmina,Prinses Irene,Prins Willem I (1933),Oosterschelde (1933)
13-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
14-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
15-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
16-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
17-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
18-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
19-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
20-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
21-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
22-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
23-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
24-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
25-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
26-04-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
27-04-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
28-04-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
29-04-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
30-04-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
